FileName,Cultivar,Tree,Pit,View,PixelsToCm,Approved,Area,Centroid_x,Centroid_y,Circularity,ConvexArea,Eccentricity,EquivDiameter,MajorAxisLength,MaxFeretDiameter,MinorAxisLength,MinFeretDiameter,OrthogonalDiameter,MaxFeretDiameterControl,Perimeter,Solidity,FormFactor,Roundness,Compactness,AspectRatio,a01,a02,a03,a04,a05,a06,a07,a08,b01,b02,b03,b04,b05,b06,b07,b08,c01,c02,c03,c04,c05,c06,c07,c08,d01,d02,d03,d04,d05,d06,d07,d08
PIMA_a_001_VD.png,PIMA,a,001,VD,825.257028193598,1,756091,621.165941665752,811.868394148323,0.827325230423208,767533,0.820626437926709,981.165103648899,1301.18160259667,1398.23102526013,743.579748114882,761.835718787445,763.344234885712,1398.16343822888,3385.72,0.985092497651567,0.828861284627764,0.568601968451335,0.754057006101883,1.83171754152237,1,0.0100067761642392,0.0625448656283144,0.00186739403757664,0.0226292333436284,-0.00347277839670593,0.0116488104339736,-0.00463100310285873,-9.71445146547012e-17,-0.00935881892606382,0.00366498100619387,-0.0123064075010402,0.00124888584707743,-0.0100485396411559,0.00110283470456859,-0.00714259827215326,1.49186218934005e-16,-0.0179225108275817,-0.000690081301591825,-0.00727276539314692,0.00126400534291009,-0.00450888013931477,0.00190549227143725,0.000436963837506809,0.628925547616999,0.00203672090049454,0.0175593398263116,0.015289380355834,0.00130937810477227,0.00562009975158639,-0.00301460873171306,0.00421697954509913
PIMA_a_001_VL.png,PIMA,a,001,VL,824.037089992046,1,733441,561.967360701133,875.893002981835,0.802618021459099,743633,0.834493260930118,966.357120804779,1306.84463913565,1423.72539487079,720.095110452281,743.371690736361,745.031624555629,1423.41877183069,3385.558,0.986294314534186,0.804108274338495,0.546798583759741,0.739458304273974,1.91095968002696,1,0.00548791018330381,0.0753268409189183,0.00381349167521298,0.0249935305418605,0.000853373061292416,0.0130766935887102,-0.000986463961782823,9.71445146547012e-17,-0.0117121045881157,0.00689960538668691,-0.0142667279657284,0.00189480121743322,-0.0116286615073223,0.0046192014506218,-0.00808064093972004,-1.70002900645727e-16,-0.0242530969776096,0.0123376593168088,-0.00697791417449439,0.00703709258768413,-0.00227934295381162,0.00342769411696086,0.000473388151756835,0.608294477941816,0.0125391383026262,0.00970860815062627,0.00509247059298825,-2.35912095801027e-05,0.00495814355885887,0.00363913572576416,0.000920661962182575
PIMA_a_002_VD.png,PIMA,a,002,VD,829.995340380445,1,594064,562.509177462361,735.30417934768,0.882481646378116,601740,0.745705825401549,869.704419273324,1067.1558133755,1151.52941777447,711.019597000168,731.367636527661,734.061040620076,1151.37700168103,2905.356,0.987243660052514,0.884391151973288,0.664182891668303,0.814974166258234,1.56871071212517,1,0.0108675262033714,0.0574424498165491,0.000152631507274575,0.0185586235681689,0.000286026667669163,0.00815065658846821,0.000475633176260545,1.04083408558608e-17,0.00384037837617529,-0.00093182153132992,0.00479178371301121,-0.00579397984559091,0.00473011274600305,-0.00413238484613398,0.00461352737368237,-3.46944695195361e-18,0.00381665881042236,-0.00624065559228137,0.00817895109883272,-0.00376566644197689,-0.000200398922526417,-0.00374678948327944,0.00330105713649349,0.716079254910411,0.0100466762264517,0.00788440795872676,0.00779241306849396,-0.000340463042247182,0.000926688669188284,-0.00230500914667396,0.00182081175044921
PIMA_a_002_VL.png,PIMA,a,002,VL,828.646618482075,1,594026,533.488515654197,690.537038782814,0.880589489523186,601621,0.74623204448943,869.676602997258,1067.447740837,1147.19004528456,710.584924749036,723.809234588136,728.464218842615,1147.0954624616,2908.386,0.987375773119622,0.882492914729333,0.663777195560872,0.814725227031097,1.57480630566484,1,0.00553075723273657,0.0502405633413389,0.00296545154262403,0.0151350383338243,0.00405746660464838,0.00739719753668332,0.00682656126364612,1.04083408558608e-16,-0.00578853800390274,0.00811040988635272,-0.00779578669526205,0.00545851685533187,-0.00824340111353867,0.00464111907080154,-0.0078729898388238,-1.47451495458029e-16,-0.0134137048038407,0.01192753048993,-0.00703870434816636,0.0056436288450802,-0.00582502686733211,0.0033699053919044,-0.00285147773776311,0.715522134872621,0.0087729073663153,0.0155915067903758,0.00812496584032289,-0.0016120021050295,-0.00611558924905528,-0.00380669956235249,0.000870276431552081
PIMA_a_003_VD.png,PIMA,a,003,VD,827.979774615924,1,660342,537.700795951189,634.455145969816,0.952750676244483,665675,0.616647163409143,916.937046611984,1033.88247641199,1063.92668920373,813.913284996503,811,816.276844360121,1063.86700296607,2948.066,0.991988583017238,0.954782346733344,0.786568754509234,0.886887114862559,1.3033895259368,1,0.00864840390807005,0.0237277751649572,0.00130159363046818,0.00374427745828191,-0.00126517620278817,0.00161479657278667,-0.00272859480224313,-9.0205620750794e-17,0.00288586896882997,0.00398315838764986,-0.00192547425589907,0.000844808102543225,-0.00148521971715963,0.00151059628619721,-0.00246038352712879,9.71445146547012e-17,0.00354037248867889,0.00231342452273299,-0.00160847242666727,-0.00228763074612239,0.00106578327174051,-0.000405097434119893,-0.0028017018350787,0.827157710601498,-0.00212903357090681,0.0209481774812464,0.00864271363770871,-0.00395053411190164,-8.58489124761054e-05,-0.00395127553666437,0.0026991001104821
PIMA_a_003_VL.png,PIMA,a,003,VL,818.352426246565,1,605505,511.421638136762,651.367630325101,0.932355259788239,610886,0.696054179472252,878.039242024447,1036.63247015706,1059.88537116049,744.290981413371,742,757.713920631656,1059.72449249793,2853.614,0.991191482535203,0.934409281651155,0.717427857746236,0.84701113200845,1.39879358462483,1,0.00657326909682128,0.0375149736905654,0.00264460644573579,0.0107457933371821,0.0020068059271557,0.000420011795218,-0.000526237432342689,1.11022302462516e-16,0.00369015790953293,-0.000418039038217004,0.00320849959907181,-0.00252877675990618,0.00291057939838611,0.000657651675390893,-0.000293345297345492,-1.66533453693773e-16,0.00242923051697082,0.00146676702758542,-0.00381784848135393,0.00702297584047461,-0.00419444794092506,0.00475791315306751,-0.00555180924990247,0.768918898363369,0.00972044095003643,0.0223041544546215,0.00238991169068121,-0.000599723475431785,-0.000143478594102513,0.00285920097188483,0.00260378282528435
PIMA_a_004_VD.png,PIMA,a,004,VD,825.28218785885,1,568726,508.19666412297,735.991155670745,0.887037553889214,574740,0.759694150049913,850.955012511854,1057.49165786351,1107.79646144948,687.66626069442,686.85721632796,687.306535668476,1107.75899906072,2835.336,0.989536138079827,0.889004343377515,0.647529116492738,0.804691938876449,1.61179387065196,1,-0.00382105131919186,0.0445064323415564,-0.0128282986755409,0.0118373413598895,-0.00986241074521982,0.00556027414628299,-0.00650766290975298,-1.04083408558608e-17,0.0122781250864781,-0.00416947517942202,0.00831688563984646,-0.00513686366259083,0.00400948852256114,-0.00386029816298467,0.00322912335924895,3.12250225675825e-17,0.0215554549714415,-0.00514794204751868,-0.00126693305488569,-0.00118283468426601,-0.000370083852376459,-0.00262914471009744,0.0012273857168349,0.705434776151717,0.0253248076205405,0.0286361265173823,0.013474325972866,-0.00170311034726664,0.00160173579856753,-0.00418763506605156,0.00168156938960475
PIMA_a_004_VL.png,PIMA,a,004,VL,824.571552866665,1,553339,457.737269558083,687.237760215709,0.884910400166025,558488,0.776700955817557,839.364698116504,1059.16895934337,1100.6911465075,667.138254956644,670.852234581334,671.246124218879,1100.54713665522,2800.038,0.990780464396728,0.886897221475699,0.628016292016911,0.792474789515043,1.63977281476055,1,0.00030452683322974,0.055242667544117,-0.00751967610962783,0.0126601457172302,-0.00703823934684327,0.00435853485216208,-0.00269049031650831,9.71445146547012e-17,-0.0103898952346,0.00520425127678814,-0.00784574230649024,0.00284957813238637,-0.00662869298176581,6.55213690949699e-05,-0.00371235684855284,-1.31838984174237e-16,-0.0194231504005938,0.0079254101775096,-0.00349774912281948,0.00259990155418308,-0.00262305148336552,-0.00431561106751905,-4.45719439890199e-05,0.69517348035537,0.0177889531700584,0.030533121649582,0.0109060811375231,0.00203829089997887,-0.00122079148800555,1.46590761985043e-05,-0.0019456767143523
PIMA_a_005_VD.png,PIMA,a,005,VD,824.977731892735,1,653370,563.416586314033,770.425028697369,0.858054703435188,668933,0.74658504174015,912.083615324611,1120.2258081735,1200.73519145563,745.275020637124,747.980206883211,753.432825958525,1200.45074867735,3090.194,0.976734590758716,0.859800243423986,0.662915479957333,0.814196217110674,1.59368579398973,1,0.0168645176654878,0.0489636385412227,-0.00518256242563737,0.014426755424444,-0.00964638631268702,0.0131875553282095,-0.00803182285776141,6.93889390390723e-17,-0.000469039915237083,0.00392913421088781,-0.00679666613578218,0.00333688357969194,-0.00898202634862546,0.00468241272552654,-0.0066417106480251,-1.11022302462516e-16,-0.0140770021716759,0.0041358031637964,-0.000871961565834206,0.000780139809327408,-0.00403012550491773,0.00217931367795529,0.00083581421912536,0.709694915212323,0.0351943093568665,0.0176347103305864,0.0210714320388544,-0.0137822251756832,0.00925684695194607,-0.00189851300424941,0.00225930670630535
PIMA_a_005_VL.png,PIMA,a,005,VL,828.911029059526,1,615939,585.878621097219,750.868816554886,0.823706026632235,630300,0.785458415400122,885.572070440702,1129.92738820147,1248.14462303052,699.328370900689,705.532247162082,710.926058595965,1248.12980094219,3062.262,0.977215611613517,0.82539698331417,0.614252243038502,0.783742459637413,1.75566025177854,1,0.00638063429295225,0.0522636612763883,-0.00106430792739776,0.0180631665820688,0.00273651283436505,0.00857620091462819,0.00345731002233249,-1.17961196366423e-16,-0.0187949220768916,0.00478436174323224,-0.02036766829458,0.00530949547174099,-0.0161558376761369,0.00542162366912716,-0.0131005082279644,1.94289029309402e-16,-0.0338127918337761,0.0134938205242011,-0.00911585759391923,0.00865371607774859,-0.0039184628018385,0.00755746941875437,-0.00254639130750485,0.655422096495722,0.0313730403949918,0.00879453566831835,0.00843106379454579,-0.00712616144593113,0.00168259363035421,-0.00424627529594906,-0.00102150933695094
